crop_name,crop_kg_per_ha,dry_frac,slope,slope_2SDpctMEAN,intercept,intercept_2SDpctMEAN,R2_adj,TOTarea_ha,BURNTarea_ha,Cf,frac_ren,Nag_kg,frac_remv,Rbg,Rbg_error_pct,Nbg_kg
Grains,10,0.88,1.09,2,0.88,6,0.65,10,5,0.8,0.5,0.006,0.5,0.22,16,0.009
Beans and pulses,10,0.91,1.13,19,0.85,56,0.28,10,5,0.8,0.5,0.008,0.5,0.19,45,0.008
Tubers,10,0.22,0.1,69,1.06,70,0.18,10,5,0.8,0.5,0.019,0.5,0.2,50,0.014
"Root crops, others",10,0.94,1.07,19,1.54,41,0.63,10,5,0.8,0.5,0.016,0.5,0.2,50,0.014
N fixing forages,10,0.9,0.3,50,0,NA,NA,10,5,0.8,0.5,0.027,0.5,0.4,50,0.022
Non N fixing forages,10,0.9,0.3,50,0,NA,NA,10,5,0.8,0.5,0.015,0.5,0.54,50,0.012
Perennial grasses,10,0.9,0.3,50,0,NA,NA,10,5,0.8,0.5,0.015,0.5,0.8,50,0.012
Grass clover mixtures,10,0.9,0.3,50,0,NA,NA,10,5,0.8,0.5,0.025,0.5,0.8,50,0.016
Maize,10,0.87,1.03,3,0.61,19,0.76,10,5,0.8,0.5,0.006,0.5,0.33,26,0.007
Wheat,10,0.89,1.51,3,0.52,17,0.68,10,5,0.9,0.5,0.006,0.5,0.24,32,0.009
Winter wheat,10,0.89,1.61,3,0.4,25,0.67,10,5,0.9,0.5,0.006,0.5,0.23,41,0.009
Spring wheat,10,0.89,1.29,5,0.75,26,0.76,10,5,0.9,0.5,0.006,0.5,0.28,26,0.009
Rice ,10,0.89,0.95,19,2.46,41,0.47,10,5,0.8,0.5,0.007,0.5,0.26,35,NA
Barley,10,0.89,0.98,8,0.59,41,0.68,10,5,0.8,0.5,0.007,0.5,0.22,33,0.014
Oats,10,0.89,0.91,5,0.89,8,0.45,10,5,0.8,0.5,0.007,0.5,0.25,120,0.008
Millet,10,0.9,1.43,18,0.14,308,0.5,10,5,0.8,0.5,0.007,0.5,NA,NA,NA
Sorghum,10,0.89,0.88,13,1.33,27,0.36,10,5,0.8,0.5,0.007,0.5,NA,NA,0.006
Rye,10,0.88,1.09,15,0.88,50,NA,10,5,0.8,0.5,0.005,0.5,NA,NA,0.011
