crop_name,dry_frac,slope,intercept,Cf,frac_ren,Nag_kg,frac_remv,Rbg,Rbg_error_pct,Nbg_kg,BURNTarea_ha
Grains,0.88,1.09,0.88,0.8,1,0.006,0.5,0.22,16,0.009,5
Beans and pulses,0.91,1.13,0.85,0.8,1,0.008,0.5,0.19,45,0.008,5
Tubers,0.22,0.1,1.06,0.8,1,0.019,0.5,0.2,50,0.014,5
"Root crops, others",0.94,1.07,1.54,0.8,1,0.016,0.5,0.2,50,0.014,5
N fixing forages,0.9,0.3,0,0.8,0.5,0.027,0.5,0.4,50,0.022,5
Non N fixing forages,0.9,0.3,0,0.8,0.5,0.015,0.5,0.54,50,0.012,5
Perennial grasses,0.9,0.3,0,0.8,0.5,0.015,0.5,0.8,50,0.012,5
Grass clover mixtures,0.9,0.3,0,0.8,0.5,0.025,0.5,0.8,50,0.016,5
Maize,0.87,1.03,0.61,0.8,1,0.006,0.5,0.33,26,0.007,5
Wheat,0.89,1.51,0.52,0.9,1,0.006,0.5,0.24,32,0.009,5
Winter wheat,0.89,1.61,0.4,0.9,1,0.006,0.5,0.23,41,0.009,5
Spring wheat,0.89,1.29,0.75,0.9,1,0.006,0.5,0.28,26,0.009,5
Rice ,0.89,0.95,2.46,0.8,1,0.007,0.5,0.26,35,NA,5
Barley,0.89,0.98,0.59,0.8,1,0.007,0.5,0.22,33,0.014,5
Oats,0.89,0.91,0.89,0.8,1,0.007,0.5,0.25,120,0.008,5
Millet,0.9,1.43,0.14,0.8,1,0.007,0.5,NA,NA,NA,5
Sorghum,0.89,0.88,1.33,0.8,1,0.007,0.5,NA,NA,0.006,5
Rye,0.88,1.09,0.88,0.8,1,0.005,0.5,NA,NA,0.011,5
